country,year,decade,population,continent,life_exp,life_exp_bin,gdp_cap,gdp_cap_bin,gdp_total
Afghanistan,1952-01-01,1950,8425333,Asia,28.801,Low,779.4453145,Low,6567086329.952229
Afghanistan,1957-01-01,1950,9240934,Asia,30.332,Low,820.8530296,Low,7585448670.233646
Afghanistan,1962-01-01,1960,10267083,Asia,31.997,Low,853.10071,Low,8758855796.92893
Afghanistan,1967-01-01,1960,11537966,Asia,34.02,Low,836.1971382,Low,9648014149.848902
Afghanistan,1972-01-01,1970,13079460,Asia,36.088,Low,739.9811058,Low,9678553274.066868
Afghanistan,1977-01-01,1970,14880372,Asia,38.438,Low,786.11336,Low,11697659230.96992
Afghanistan,1982-01-01,1980,12881816,Asia,39.854,Low,978.0114388,Low,12598563400.516861
Afghanistan,1987-01-01,1980,13867957,Asia,40.822,Low,852.3959448,Low,11820990309.460773
Afghanistan,1992-01-01,1990,16317921,Asia,41.674,Low,649.3413952,Low,10595901588.90338
Afghanistan,1997-01-01,1990,22227415,Asia,41.763,Low,635.341351,Low,14121995875.337666
Afghanistan,2002-01-01,2000,25268405,Asia,42.129,Low,726.7340548,Low,18363410423.978592
Afghanistan,2007-01-01,2000,31889923,Asia,43.828,Low,974.5803384,Low,31079291948.889942
Albania,1952-01-01,1950,1282697,Europe,55.23,Medium,1601.056136,Medium,2053669902.478792
Albania,1957-01-01,1950,1476505,Europe,59.28,Medium,1942.284244,Medium,2867792397.68722
Albania,1962-01-01,1960,1728137,Europe,64.82,High,2312.888958,Medium,3996988985.211246
Albania,1967-01-01,1960,1984060,Europe,66.22,High,2760.196931,Medium,5476396322.91986
Albania,1972-01-01,1970,2263554,Europe,67.69,High,3313.422188,Medium,7500110047.336152
Albania,1977-01-01,1970,2509048,Europe,68.93,High,3533.00391,High,8864476394.37768
Albania,1982-01-01,1980,2780097,Europe,70.42,High,3630.880722,High,10094200602.590034
Albania,1987-01-01,1980,3075321,Europe,72.0,Very High,3738.932735,High,11498418357.532934
Albania,1992-01-01,1990,3326498,Europe,71.581,Very High,2497.437901,Medium,8307722182.800697
Albania,1997-01-01,1990,3428038,Europe,72.95,Very High,3193.054604,Medium,10945912518.586952
Albania,2002-01-01,2000,3508512,Europe,75.651,Very High,4604.211737,High,16153932129.805344
